"County","State","Outbreak Date","Flock Type","Flock Size"
"Warren","New Jersey","10-13-2022","WOAH Non-Poultry","6"
"Sanpete","Utah","10-13-2022","Commercial Turkey Meat Bird","100000"
"Weld","Colorado","10-12-2023","WOAH Non-Poultry","30"
"Williams","North Dakota","10-12-2023","WOAH Non-Poultry","10"
"Fremont","Wyoming","10-12-2022","WOAH Non-Poultry","30"
"Genesee","Michigan","10-12-2022","WOAH Non-Poultry","20"
"Sanpete","Utah","10-12-2022","Commercial Turkey Meat Bird","52800"
"Weld","Colorado","10-12-2022","WOAH Non-Poultry","40"
"Hamlin","South Dakota","10-12-2022","WOAH Non-Poultry","20"
"Beadle","South Dakota","10-12-2022","Commercial Turkey Meat Bird","71400"
"Meeker","Minnesota","10-11-2023","Commercial Turkey Meat Bird","115000"
"Broward","Florida","10-11-2022","WOAH Non-Poultry","40"
"Logan","Kentucky","10-11-2022","WOAH Non-Poultry","190"
"Martin","Florida","10-11-2022","WOAH Non-Poultry","50"
"Adams","Pennsylvania","10-11-2022","WOAH Poultry","2800"
"Lapeer","Michigan","10-11-2022","WOAH Poultry","40"
"Gregory","South Dakota","10-11-2022","Commercial Upland Gamebird Producer","200"
"Glacier","Montana","10-10-2023","WOAH Poultry","77100"
"Madison","Arkansas","10-07-2022","Commercial Broiler Breeder Pullets","56000"
"Pope","Minnesota","10-07-2022","WOAH Non-Poultry","30"
"Johnson","Kansas","10-07-2022","WOAH Poultry","6"
"Boulder","Colorado","10-07-2022","WOAH Poultry","600"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","26700"
"Neosho","Kansas","10-07-2022","WOAH Poultry","2000"
"Lapeer","Michigan","10-07-2022","WOAH Poultry","100"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","38900"
"Sanpete","Utah","10-06-2023","Commercial Turkey Meat Bird","7600"
"Sanpete","Utah","10-06-2023","Commercial Turkey Meat Bird","134200"
"Fayette","Kentucky","10-06-2022","WOAH Poultry","150"
"Hampton City","Virginia","10-06-2022","WOAH Non-Poultry","40"
"Brule","South Dakota","10-06-2022","Commercial Upland Gamebird Producer","500"
"Glacier","Montana","10-05-2022","WOAH Non-Poultry","1100"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Non-Poultry","40"
"New Haven","Connecticut","10-05-2022","WOAH Non-Poultry","50"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Poultry","10"
"Berks","Pennsylvania","10-05-2022","WOAH Non-Poultry","10"
"Monroe","Pennsylvania","10-05-2022","WOAH Non-Poultry","40"
"Jerauld","South Dakota","10-04-2023","Commercial Turkey Meat Bird","47300"
"Westmoreland","Pennsylvania","10-04-2022","WOAH Non-Poultry","160"
"Del Norte","California","10-04-2022","WOAH Poultry","43000"
"Box Butte","Nebraska","10-04-2022","WOAH Non-Poultry","100"
"Monterey","California","10-04-2022","Commercial Duck Breeder","15100"
"York","Nebraska","10-04-2022","Commercial Upland Gamebird Producer","139500"
"Bernalillo","New Mexico","10-04-2022","WOAH Non-Poultry","40"
"Canyon","Idaho","10-03-2023","WOAH Non-Poultry","70"
"Portage","Ohio","10-03-2022","WOAH Non-Poultry","50"
"Tuscola","Michigan","10-03-2022","WOAH Poultry","140"
"Calaveras","California","10-03-2022","WOAH Non-Poultry","20"
"Stanislaus","California","10-03-2022","Commercial Turkey Meat Bird","51000"
"Cache","Utah","10-03-2022","WOAH Non-Poultry","320"
"Nelson","North Dakota","09-30-2022","WOAH Non-Poultry","50"
"Douglas","Oregon","09-30-2022","WOAH Non-Poultry","30"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19300"
"Lancaster","Pennsylvania","09-29-2022","WOAH Non-Poultry","180"
"Mesa","Colorado","09-29-2022","WOAH Non-Poultry","40"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19900"
"Dunn","Wisconsin","09-29-2022","Commercial Turkey Meat Bird","79500"
"York","Pennsylvania","09-29-2022","Commercial Turkey Meat Bird","25900"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","10"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","40"
"Racine","Wisconsin","09-28-2022","Commercial Duck Meat Bird","10000"
"Sanpete","Utah","09-28-2022","Commercial Turkey Meat Bird","24400"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","36700"
"Goodhue","Minnesota","09-27-2022","WOAH Non-Poultry","80"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","127200"
"Ransom","North Dakota","09-27-2022","Commercial Turkey Meat Bird","69100"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","30"
"Dallas","Texas","09-24-2022","WOAH Non-Poultry","60"
"Mcpherson","South Dakota","09-24-2022","Commercial Turkey Meat Bird","56900"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","10"
"Merrimack","New Hampshire","09-23-2022","WOAH Poultry","250"
"Kingsbury","South Dakota","09-22-2022","WOAH Non-Poultry","250"
"Ward","North Dakota","09-22-2022","WOAH Poultry","60"
"Todd","Minnesota","09-22-2022","WOAH Non-Poultry","50"
"Anne Arundel","Maryland","09-22-2022","WOAH Non-Poultry","4"
"Roseau","Minnesota","09-21-2022","Commercial Turkey Meat Bird","116000"
"Gooding","Idaho","09-21-2022","Commercial Upland Gamebird Producer","9000"
"Sanpete","Utah","09-21-2022","Commercial Turkey Meat Bird","11100"
"Weld","Colorado","09-21-2022","Commercial Table Egg Layer","1150000"
"Otter Tail","Minnesota","09-21-2022","Commercial Turkey Meat Bird","5900"
"Fresno","California","09-20-2022","WOAH Non-Poultry","100"
"Sanpete","Utah","09-20-2022","Commercial Turkey Meat Bird","73200"
"Brown","Minnesota","09-20-2022","Commercial Turkey Meat Bird","43000"
"Washington","Pennsylvania","09-20-2022","WOAH Poultry","1800"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","41700"
"Stearns","Minnesota","09-20-2022","Commercial Turkey Meat Bird","64600"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","23900"
"Dawes","Nebraska","09-19-2022","WOAH Non-Poultry","40"
"Macomb","Michigan","09-19-2022","WOAH Non-Poultry","40"
"Pierce","Washington","09-16-2022","WOAH Non-Poultry","30"
"Union","New Jersey","09-15-2023","Live Bird Market","520"
"Obion","Tennessee","09-15-2022","WOAH Poultry","130"
"Bristol","Massachusetts","09-15-2022","WOAH Non-Poultry","50"
"Teton","Montana","09-15-2022","WOAH Poultry","2800"
"Summit","Ohio","09-15-2022","WOAH Non-Poultry","6"
"Fresno","California","09-15-2022","Commercial Broiler Breeder","15900"
"Isanti","Minnesota","09-14-2022","WOAH Non-Poultry","4"
"Williams","Ohio","09-14-2022","WOAH Non-Poultry","60"
"Otter Tail","Minnesota","09-14-2022","Commercial Turkey Breeder Hens","7900"
"Meeker","Minnesota","09-14-2022","Commercial Turkey Meat Bird","61400"
"Allen","Ohio","09-14-2022","WOAH Non-Poultry","2"
"Ingham","Michigan","09-13-2022","WOAH Poultry","20"
"Sanpete","Utah","09-13-2022","Commercial Turkey Meat Bird","5800"
"Freeborn","Minnesota","09-13-2022","WOAH Non-Poultry","320"
"Stearns","Minnesota","09-13-2022","Commercial Turkey Meat Bird","69400"
"Brown","Minnesota","09-13-2022","Commercial Turkey Meat Bird","43700"
"Twin Falls","Idaho","09-12-2022","WOAH Non-Poultry","40"
"El Dorado","California","09-09-2022","WOAH Non-Poultry","150"
"Fresno","California","09-09-2022","Commercial Broiler Breeder","23900"
"Becker","Minnesota","09-09-2022","Commercial Turkey Breeder Hens","17100"
"Meeker","Minnesota","09-08-2022","Commercial Turkey Meat Bird","34200"
"Morrison","Minnesota","09-07-2022","Commercial Turkey Meat Bird","50200"
"Defiance","Ohio","09-03-2022","Commercial Table Egg Layer","3748500"
"Ashland","Ohio","09-03-2022","WOAH Non-Poultry","640"
"Washington","Wisconsin","09-02-2022","WOAH Poultry","120"
"Elkhart","Indiana","09-01-2022","WOAH Poultry","260"
"Fresno","California","09-01-2022","Commercial Broiler Breeder","22900"
"Cass","North Dakota","09-01-2022","WOAH Non-Poultry","6"
"Hennepin","Minnesota","09-01-2022","WOAH Non-Poultry","10"
"Tuolumne","California","09-01-2022","Commercial Turkey Meat Bird","30800"
"Sacramento","California","09-01-2022","WOAH Non-Poultry","20"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","91000"
"Sacramento","California","08-30-2022","Commercial Turkey Meat Bird","97000"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","52000"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","7400"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","126400"
"Caroline","Virginia","08-29-2022","WOAH Non-Poultry","110"
"Fresno","California","08-26-2022","Commercial Broiler Breeder","34800"
"Cowlitz","Washington","08-26-2022","WOAH Non-Poultry","20"
"Tuolumne","California","08-26-2022","Commercial Turkey Meat Bird","161700"
"Pierce","Washington","08-25-2022","WOAH Non-Poultry","70"
"Weber","Utah","08-24-2022","WOAH Non-Poultry","20"
"Contra Costa","California","08-23-2022","WOAH Non-Poultry","60"
"Henry","Georgia","08-22-2022","WOAH Non-Poultry","80"
"Fresno","California","08-22-2022","Commercial Broiler Breeder","33900"
"Kitsap","Washington","08-19-2022","WOAH Non-Poultry","10"
"Walla Walla","Washington","08-18-2022","WOAH Non-Poultry","2"
"Butte","California","08-16-2022","WOAH Non-Poultry","1100"
"Osceola","Florida","08-16-2022","WOAH Non-Poultry","10"
"Northampton","Pennsylvania","08-11-2022","WOAH Poultry","90"
"Sacramento","California","08-10-2022","WOAH Non-Poultry","40"
"Kings","New York","08-03-2023","Live Bird Market","800"
"Bethel","Alaska","08-02-2022","WOAH Non-Poultry","20"
"Kings","New York","07-28-2023","Live Bird Market","490"
"Coos","Oregon","07-28-2022","WOAH Non-Poultry","20"
"Jefferson","Washington","07-26-2022","WOAH Non-Poultry","80"
"Flathead","Montana","07-26-2022","WOAH Non-Poultry","7"
"Sanpete","Utah","07-26-2022","Commercial Turkey Meat Bird","12700"
"Kings","New York","07-25-2023","Live Bird Market","570"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","120"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","90"
"Seminole","Florida","07-21-2022","WOAH Non-Poultry","160"
"Deschutes","Oregon","07-21-2022","WOAH Poultry","60"
"Sanpete","Utah","07-19-2022","Commercial Turkey Meat Bird","23300"
"Deschutes","Oregon","07-19-2022","WOAH Poultry","100"
"Snohomish","Washington","07-19-2022","WOAH Poultry","340"
"Deschutes","Oregon","07-15-2022","WOAH Poultry","60"
"Sanpete","Utah","07-14-2022","Commercial Turkey Meat Bird","15500"
"Deschutes","Oregon","07-12-2022","WOAH Poultry","100"
"Carson City","Nevada","07-07-2022","WOAH Non-Poultry","40"
"Linn","Oregon","07-06-2022","WOAH Non-Poultry","40"
"Jefferson","Washington","07-06-2022","WOAH Non-Poultry","20"
"Salt Lake","Utah","07-01-2022","WOAH Non-Poultry","20"
"King","Washington","07-01-2022","WOAH Poultry","220"
"Kitsap","Washington","07-01-2022","WOAH Non-Poultry","6"
"Cumberland","Maine","06-29-2022","WOAH Non-Poultry","20"
"Yakima","Washington","06-29-2022","WOAH Non-Poultry","6"
"Pierce","Washington","06-24-2022","WOAH Non-Poultry","50"
"Snohomish","Washington","06-22-2022","WOAH Non-Poultry","200"
"King","Washington","06-22-2022","WOAH Non-Poultry","3"
"Yakima","Washington","06-22-2022","WOAH Non-Poultry","90"
"King","Washington","06-22-2022","WOAH Non-Poultry","9"
"Yakima","Washington","06-14-2022","WOAH Non-Poultry","30"
"Salt Lake","Utah","06-13-2022","WOAH Non-Poultry","70"
"Allen","Indiana","06-09-2022","WOAH Non-Poultry","40"
"Yakima","Washington","06-09-2022","WOAH Non-Poultry","70"
"Weld","Colorado","06-09-2022","Commercial Table Egg Pullets","205000"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","9"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","30"
"Polk","Oregon","06-08-2022","WOAH Non-Poultry","90"
"Weld","Colorado","06-07-2022","Commercial Table Egg Layer","1936800"
"King","Washington","06-07-2022","WOAH Poultry","50"
"Allen","Indiana","06-07-2022","WOAH Poultry","110"
"Mchenry","North Dakota","06-06-2022","WOAH Poultry","30"
"Berks","Pennsylvania","06-02-2022","Commercial Duck Meat Bird","30100"
"Snohomish","Washington","06-02-2022","WOAH Non-Poultry","30"
"Toombs","Georgia","06-01-2022","WOAH Non-Poultry","490"
"Becker","Minnesota","05-31-2022","WOAH Non-Poultry","40"
"Snohomish","Washington","05-27-2022","WOAH Non-Poultry","40"
"King","Washington","05-25-2022","WOAH Non-Poultry","20"
"Ada","Idaho","05-24-2022","WOAH Non-Poultry","30"
"King","Washington","05-24-2022","WOAH Non-Poultry","7"
"King","Washington","05-24-2022","WOAH Non-Poultry","180"
"Berks","Pennsylvania","05-23-2022","Commercial Duck Breeder","4700"
"Bayfield","Wisconsin","05-23-2022","WOAH Non-Poultry","40"
"Dakota","Minnesota","05-21-2022","Commercial Turkey Meat Bird","54400"
"Campbell","Wyoming","05-20-2022","WOAH Non-Poultry","30"
"Polk","Minnesota","05-20-2022","WOAH Non-Poultry","50"
"Ada","Idaho","05-20-2022","WOAH Non-Poultry","7"
"Codington","South Dakota","05-20-2022","WOAH Poultry","80"
"Allen","Indiana","05-19-2022","WOAH Non-Poultry","7"
"Jefferson","Colorado","05-19-2022","WOAH Non-Poultry","10"
"Ada","Idaho","05-19-2022","WOAH Poultry","70"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Ada","Idaho","05-19-2022","WOAH Non-Poultry","30"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Rowan","North Carolina","05-18-2023","WOAH Non-Poultry","30"
"Phelps","Missouri","05-18-2023","WOAH Non-Poultry","80"
"Canyon","Idaho","05-18-2022","WOAH Poultry","160"
"Ada","Idaho","05-18-2022","WOAH Non-Poultry","6"
"Kandiyohi","Minnesota","05-18-2022","Commercial Turkey Breeder Toms","4700"
"Berks","Pennsylvania","05-18-2022","Commercial Duck Breeder","7200"
"Canyon","Idaho","05-18-2022","WOAH Non-Poultry","10"
"Canyon","Idaho","05-18-2022","WOAH Poultry","6"
"Clay","Minnesota","05-18-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Monmouth","New Jersey","05-17-2022","WOAH Poultry","60"
"Berks","Pennsylvania","05-17-2022","Commercial Table Egg Layer","79000"
"Lane","Oregon","05-17-2022","WOAH Poultry","450"
"Thurston","Washington","05-17-2022","WOAH Non-Poultry","410"
"Ada","Idaho","05-17-2022","WOAH Non-Poultry","20"
"Burke","North Dakota","05-17-2022","WOAH Non-Poultry","50"
"Boone","Illinois","05-17-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-17-2022","WOAH Non-Poultry","50"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Ada","Idaho","05-17-2022","WOAH Poultry","9"
"Salt Lake","Utah","05-17-2022","WOAH Non-Poultry","30"
"Dunn","Wisconsin","05-16-2022","WOAH Non-Poultry","150"
"Berks","Pennsylvania","05-14-2022","Commercial Table Egg Breeder","83700"
"Canyon","Idaho","05-13-2022","WOAH Non-Poultry","9"
"Barron","Wisconsin","05-13-2022","Commercial Turkey Meat Bird","10500"
"Lincoln","Wyoming","05-13-2022","WOAH Non-Poultry","40"
"Ada","Idaho","05-13-2022","WOAH Non-Poultry","60"
"Marinette","Wisconsin","05-13-2022","WOAH Non-Poultry","90"
"Sheridan","Wyoming","05-13-2022","WOAH Non-Poultry","20"
"Chisago","Minnesota","05-12-2022","WOAH Non-Poultry","40"
"Grant","Minnesota","05-12-2022","WOAH Non-Poultry","310"
"Ada","Idaho","05-12-2022","WOAH Non-Poultry","10"
"Okanogan","Washington","05-12-2022","WOAH Non-Poultry","20"
"Whatcom","Washington","05-12-2022","WOAH Non-Poultry","80"
"Nobles","Minnesota","05-11-2023","WOAH Non-Poultry","100"
"Cache","Utah","05-11-2022","WOAH Non-Poultry","20"
"Ada","Idaho","05-11-2022","WOAH Non-Poultry","4"
"Chisago","Minnesota","05-11-2022","WOAH Poultry","160"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Pierce","Washington","05-11-2022","WOAH Non-Poultry","20"
"Todd","Minnesota","05-10-2022","WOAH Non-Poultry","50"
"Pierce","Washington","05-10-2022","WOAH Non-Poultry","20"
"Crow Wing","Minnesota","05-10-2022","WOAH Poultry","150"
"Ada","Idaho","05-10-2022","WOAH Poultry","70"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Meat Bird","37300"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Breeder","23800"
"Muskegon","Michigan","05-10-2022","Commercial Turkey Meat Bird","35100"
"Lancaster","Pennsylvania","05-10-2022","Commercial Table Egg Layer","72300"
"Canyon","Idaho","05-09-2022","WOAH Poultry","50"
"Barron","Wisconsin","05-07-2022","Commercial Turkey Meat Bird","20100"
"Spokane","Washington","05-07-2022","WOAH Non-Poultry","80"
"Oakland","Michigan","05-06-2022","WOAH Non-Poultry","50"
"Anoka","Minnesota","05-06-2022","WOAH Non-Poultry","10"
"Fergus","Montana","05-06-2022","WOAH Non-Poultry","20"
"Posey","Indiana","05-05-2023","WOAH Non-Poultry","20"
"Pacific","Washington","05-05-2022","WOAH Poultry","40"
"Linn","Oregon","05-05-2022","WOAH Non-Poultry","90"
"Pierce","Wisconsin","05-05-2022","WOAH Non-Poultry","30"
"Day","South Dakota","05-04-2022","WOAH Poultry","80"
"Carver","Minnesota","05-04-2022","WOAH Non-Poultry","30"
"Hamlin","South Dakota","05-04-2022","WOAH Non-Poultry","20"
"Bremer","Iowa","05-04-2022","WOAH Non-Poultry","50"
"Chisago","Minnesota","05-03-2022","WOAH Non-Poultry","30"
"Sauk","Wisconsin","05-03-2022","WOAH Non-Poultry","40"
"Beadle","South Dakota","05-03-2022","Commercial Turkey Meat Bird","56200"
"Polk","Wisconsin","05-03-2022","WOAH Non-Poultry","120"
"Fond Du Lac","Wisconsin","05-03-2022","WOAH Non-Poultry","20"
"Kane","Illinois","05-03-2022","WOAH Non-Poultry","50"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Meat Bird","74300"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Breeder","29600"
"Lyon","Minnesota","05-03-2022","Commercial Turkey Meat Bird","120300"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","46700"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","19300"
"Morrison","Minnesota","04-30-2022","WOAH Non-Poultry","50"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","60"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","30"
"Sequoyah","Oklahoma","04-30-2022","Commercial Broiler Breeder","13800"
"Branch","Michigan","04-30-2022","WOAH Non-Poultry","20"
"Washington","Nebraska","04-29-2022","WOAH Non-Poultry","50"
"Matanuska Susitna","Alaska","04-29-2022","WOAH Non-Poultry","30"
"Oconto","Wisconsin","04-29-2022","WOAH Non-Poultry","220"
"Barron","Wisconsin","04-29-2022","WOAH Non-Poultry","150"
"Pondera","Montana","04-29-2022","WOAH Non-Poultry","2000"
"Weld","Colorado","04-29-2022","Commercial Table Egg Layer","1366200"
"Lancaster","Pennsylvania","04-29-2022","Commercial Duck Meat Bird","19300"
"Stearns","Minnesota","04-29-2022","Commercial Turkey Breeder Hens","9600"
"Gallatin","Montana","04-29-2022","WOAH Non-Poultry","20"
"Fergus","Montana","04-29-2022","WOAH Non-Poultry","110"
"Wexford","Michigan","04-28-2022","WOAH Poultry","70"
"Carver","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Caledonia","Vermont","04-28-2022","WOAH Non-Poultry","30"
"Barron","Wisconsin","04-28-2022","Commercial Turkey Meat Bird","110700"
"Johnson","Indiana","04-28-2022","WOAH Non-Poultry","40"
"Swift","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Republic","Kansas","04-27-2022","WOAH Poultry","110"
"Knox","Nebraska","04-27-2022","Commercial Table Egg Layer","2118000"
"Lancaster","Pennsylvania","04-27-2022","Commercial Broiler Breeder Pullets","18100"
"Saginaw","Michigan","04-27-2022","WOAH Non-Poultry","80"
"Gratiot","Michigan","04-26-2024","Commercial Turkey Meat Bird","27700"
"Missoula","Montana","04-26-2022","WOAH Non-Poultry","70"
"Kossuth","Iowa","04-26-2022","WOAH Non-Poultry","4"
"Richland","North Dakota","04-26-2022","WOAH Poultry","20"
"Lancaster","Pennsylvania","04-26-2022","Commercial Table Egg Layer","307400"
"Cassia","Idaho","04-25-2024","WOAH Non-Poultry","40"
"Stearns","Minnesota","04-25-2022","Commercial Turkey Meat Bird","14600"
"Rice","Minnesota","04-25-2022","WOAH Non-Poultry","90"
"Menominee","Michigan","04-25-2022","WOAH Non-Poultry","40"
"Cache","Utah","04-25-2022","Commercial Table Egg Layer","1501200"
"Ottawa","Michigan","04-24-2024","Commercial Turkey Meat Bird","104000"
"Routt","Colorado","04-24-2023","WOAH Non-Poultry","20"
"Polk","Wisconsin","04-23-2022","WOAH Non-Poultry","40"
"Yellow Medicine","Minnesota","04-22-2022","Commercial Turkey Meat Bird","49500"
"Swift","Minnesota","04-22-2022","Commercial Turkey Meat Bird","127400"
"Lancaster","Pennsylvania","04-22-2022","Commercial Broiler Production","50300"
"Otter Tail","Minnesota","04-22-2022","Commercial Turkey Meat Bird","27300"
"Bremer","Iowa","04-21-2022","Commercial Turkey Meat Bird","29200"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","19700"
"Morrison","Minnesota","04-21-2022","Commercial Turkey Meat Bird","40900"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","37000"
"Richland","North Dakota","04-21-2022","Commercial Turkey Meat Bird","27500"
"Renville","North Dakota","04-21-2022","WOAH Non-Poultry","70"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","62800"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30300"
"Glacier","Montana","04-20-2022","WOAH Poultry","54200"
"Madison","Idaho","04-20-2022","WOAH Poultry","200"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30100"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","879400"
"Elkhart","Indiana","04-20-2022","Commercial Duck Meat Bird","6600"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","72000"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","1127700"
"Beadle","South Dakota","04-19-2023","Commercial Turkey Meat Bird","75800"
"Dickey","North Dakota","04-19-2023","Commercial Turkey Meat Bird","58500"
"La Plata","Colorado","04-19-2022","WOAH Poultry","40"
"Gooding","Idaho","04-19-2022","WOAH Non-Poultry","80"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","47700"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","17600"
"Montrose","Colorado","04-19-2022","Commercial Broiler Breeder","58000"
"Stutsman","North Dakota","04-19-2022","WOAH Poultry","20"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","38700"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","35700"
"Swift","Minnesota","04-19-2022","Commercial Turkey Meat Bird","31600"
"Otter Tail","Minnesota","04-19-2022","Commercial Turkey Meat Bird","29700"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","58100"
"Meeker","Minnesota","04-19-2022","Commercial Turkey Meat Bird","53000"
"Kings","New York","04-18-2023","Live Bird Market","1400"
"Roosevelt","New Mexico","04-17-2024","Commercial Breeder (Multiple Bird Species)","51800"
"Newaygo","Michigan","04-17-2024","Commercial Turkey Meat Bird","67200"
"Putnam","New York","04-17-2023","WOAH Poultry","110"
"Moffat","Colorado","04-17-2023","WOAH Non-Poultry","80"
"Bonneville","Idaho","04-17-2023","WOAH Non-Poultry","40"
"Ionia","Michigan","04-16-2024","Commercial Table Egg Layer","2422700"
"Menominee","Michigan","04-16-2022","WOAH Non-Poultry","30"
"Roosevelt","New Mexico","04-15-2024","Commercial Breeder (Multiple Bird Species)","15300"
"Miami-dade","Florida","04-15-2024","Live Bird Market","90"
"Macomb","Michigan","04-15-2022","WOAH Non-Poultry","40"
"Livingston","Michigan","04-15-2022","WOAH Non-Poultry","20"
"Polk","Wisconsin","04-15-2022","Commercial Turkey Meat Bird","22000"
"Utah","Utah","04-15-2022","WOAH Non-Poultry","7"
"Lancaster","Pennsylvania","04-15-2022","Commercial Table Egg Layer","1380500"
"Rosebud","Montana","04-14-2023","WOAH Non-Poultry","0"
"Sheridan","Nebraska","04-14-2023","WOAH Non-Poultry","10"
"Columbia","Wisconsin","04-14-2022","WOAH Non-Poultry","70"
"Sheboygan","Wisconsin","04-14-2022","WOAH Non-Poultry","20"
"Gooding","Idaho","04-14-2022","WOAH Poultry","20"
"Caribou","Idaho","04-14-2022","WOAH Non-Poultry","7"
"Elkhart","Indiana","04-14-2022","Commercial Duck Breeder","6400"
"Blue Earth","Minnesota","04-14-2022","Commercial Turkey Meat Bird","26400"
"Lamoure","North Dakota","04-14-2022","WOAH Non-Poultry","10"
"Meeker","Minnesota","04-14-2022","Commercial Turkey Meat Bird","73200"
"Benton","Minnesota","04-13-2022","WOAH Non-Poultry","7"
"Menominee","Michigan","04-13-2022","WOAH Poultry","350"
"Barnes","North Dakota","04-13-2022","WOAH Poultry","90"
"Otter Tail","Minnesota","04-13-2022","Commercial Turkey Meat Bird","35700"
"Mcpherson","Kansas","04-13-2022","Commercial Turkey Breeder Hens","6900"
"Blue Earth","Minnesota","04-13-2022","Commercial Turkey Meat Bird","22700"
"Deuel","South Dakota","04-13-2022","Commercial Upland Gamebird Producer","1400"
"Waseca","Minnesota","04-13-2022","Commercial Turkey Meat Bird","20300"
"Roosevelt","New Mexico","04-12-2024","Commercial Breeder (Multiple Bird Species)","61500"
"Putnam","New York","04-12-2023","WOAH Poultry","200"
"Pueblo","Colorado","04-12-2023","WOAH Non-Poultry","30"
"Modoc","California","04-12-2023","WOAH Non-Poultry","60"
"Toole","Montana","04-12-2022","WOAH Non-Poultry","20"
"Benton","Minnesota","04-12-2022","WOAH Non-Poultry","130"
"Sheridan","North Dakota","04-12-2022","WOAH Non-Poultry","30"
"Dixon","Nebraska","04-12-2022","Commercial Table Egg Layer","1746900"
"Morrison","Minnesota","04-12-2022","Commercial Broiler Production","42900"
"Morrison","Minnesota","04-12-2022","Commercial Table Egg Layer","216200"
"Yellow Medicine","Minnesota","04-12-2022","Commercial Turkey Meat Bird","44800"
"Barron","Wisconsin","04-12-2022","Commercial Turkey Meat Bird","46500"
"Wayne","North Carolina","04-12-2022","Commercial Broiler Production","89700"
"Morrison","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37600"
"Kandiyohi","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37100"
"Meeker","Minnesota","04-11-2024","Commercial Turkey Meat Bird","68600"
"Menominee","Michigan","04-11-2022","WOAH Non-Poultry","70"
"Grant","Kansas","04-10-2024","WOAH Poultry","17700"
"Mitchell","Kansas","04-10-2023","WOAH Non-Poultry","30"
"Ionia","Michigan","04-09-2024","Commercial Table Egg Layer","2147500"
"Swift","Minnesota","04-09-2022","Commercial Turkey Meat Bird","130900"
"Yankton","South Dakota","04-09-2022","Commercial Turkey Meat Bird","76100"
"Le Sueur","Minnesota","04-09-2022","Commercial Turkey Meat Bird","37800"
